Non-GPO,GPO
dl82.numvolarrgmtappvls,scoring_data.num_approval_vol_arrangement
dl82.numvolarrgmtcompns,scoring_data.num_completions_vol_arrangement
dl82.numvolarrgmtrevns,scoring_data.num_revocation_voluntary_arrangement
dl82.numvolarrgmtsuspns,scoring_data.num_suspension_vol_arrangement
dl82.numvolliquidrappt,scoring_data.num_appt_vol_liquidator
dl82.numwinduporders,scoring_data.num_wind_up_orders
dl82.regnumber      ,?
dl82.sincelastderogdataitem,scoring_data.time_since_last_derogatory_item
dl82.tslwupdateofhearing,scoring_data.time_since_last_wind_up_hearing
dl82._seq           ,?
dl83.agemostrecentccj,scoring_data.age_most_recent_ccj
dl83.ccjtoshftotl24m,scoring_data.val_cc_js_last24_months_prop_share_funds
dl83.highestvalccj  ,scoring_data.highest_value_ccj
dl83.numccj0to72    ,scoring_data.number_cc_js0_to72
dl83.numccj13to24   ,scoring_data.number_cc_js13_to24
dl83.numccj25to36   ,scoring_data.number_cc_js25_to36
dl83.numccj37to48   ,scoring_data.number_cc_js37_to48
dl83.numccj49to60   ,scoring_data.number_cc_js49_to60
dl83.numccj61to72   ,scoring_data.number_cc_js61_to72
dl83.numccjlast12   ,scoring_data.number_cc_js_last12_months
dl83.regnumber      ,?
dl83.totvalccjtoshfunds,scoring_data.tot_val_cc_js_prop_share_funds
dl83.valccj0to72    ,scoring_data.value_cc_js0_to72
dl83.valccj13to24   ,scoring_data.value_cc_js13_to24
dl83.valccj25to36   ,scoring_data.value_cc_js25_to36
dl83.valccj37to48   ,scoring_data.value_cc_js37_to48
